STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
43400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43400.00,9287,-6873,-42.53094059405941,245085,16.0,820.85,359.35,77.86565547128927,489375,32475,200,816.1,275,818.7,42559.55
43500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43500.00,325908,56462,20.954848095722333,3813571,22.57,8.1,-34.55,-81.00820633059789,5701125,1308650,150,8.05,12375,8.1,42559.55
43500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43500.00,12568,-7585,-37.63707636580162,254092,20.22,920.0,374.05,68.51360014653355,692275,25425,25,917.55,125,920.5,42559.55
43600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43600.00,132782,7945,6.364299045955926,2056638,24.17,7.45,-23.2,-75.69331158238172,2359550,519200,1625,7.4,9950,7.45,42559.55
43600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43600.00,6244,-1885,-23.188584081682865,31175,27.83,1019.95,388.30000000000007,61.47391751761262,201025,18250,50,1014.6,125,1016.4,42559.55
43700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43700.00,112404,-10133,-8.269339056774689,1733462,25.84,7.05,-15.15,-68.24324324324323,1937825,285650,8125,7.0,100,7.05,42559.55
43700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43700.00,4626,-4469,-49.1368884002199,26143,29.5,1113.85,390.19999999999993,53.92109445173771,146975,13800,25,1116.35,50,1120.25,42559.55
43800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43800.00,122466,-7395,-5.69455032688798,1586506,27.52,6.7,-9.95,-59.75975975975976,1535875,220150,6250,6.7,400,6.75,42559.55
43800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE43800.00,6822,-1912,-21.891458667277305,12862,26.01,1228.15,414.35000000000014,50.91545834357338,92225,15350,25,1214.85,50,1217.85,42559.55
43900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE43900.00,54443,-5089,-8.548343747900288,927110,29.19,6.3,-6.55,-50.97276264591439,629375,140225,5700,6.3,500,6.35,42559.55
